label_name,class_map,Category.CodingSchemeDesignator,Category.CodeValue,Category.CodeMeaning,Type.CodingSchemeDesignator,Type.CodeValue,Type.CodeMeaning,TypeModifier.CodingSchemeDesignator,TypeModifier.CodeValue,TypeModifier.CodeMeaning,AnatomicRegion.CodingSchemeDesignator,AnatomicRegion.CodeValue,AnatomicRegion.CodeMeaning,AnatomicRegionModifier.CodingSchemeDesignator,AnatomicRegionModifier.CodeValue,AnatomicRegionModifier.CodeMeaning,recommendedDisplayRGBValue,recommendedDisplayRGBValue.R,recommendedDisplayRGBValue.G,recommendedDisplayRGBValue.B
adrenal_gland_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,7771000,Left,,,,,,,"[199, 27, 27]",199,27,27
adrenal_gland_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,24028007,Right,,,,,,,"[199, 27, 27]",199,27,27
anterior_scalene_left,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,50755001,Structure of scalenus anterior muscle,SCT,7771000,Left,,,,,,,"[77, 201, 67]",,,
anterior_scalene_right,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,50755001,Structure of scalenus anterior muscle,SCT,24028007,Right,,,,,,,"[77, 201, 67]",,,
aorta,"heartchambers_highres,total,total_mr",SCT,123037004,Anatomical Structure,SCT,15825003,Aorta,,,,,,,,,,"[224, 97, 76]",224,97,76
atrial_appendage_left,total,SCT,123037004,Anatomical Structure,SCT,68786006,Auricular appendage,SCT,7771000,Left,,,,,,,"[255, 68, 204]",,,
auditory_canal_left,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,84301002,External auditory canal,SCT,7771000,Left,,,,,,,"[79, 162, 200]",,,
auditory_canal_right,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,84301002,External auditory canal,SCT,24028007,Right,,,,,,,"[79, 162, 200]",,,
autochthon_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,7771000,Left,,,,,,,"[192, 104, 88]",192,104,88
autochthon_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,24028007,Right,,,,,,,"[192, 104, 88]",192,104,88
body_extremities,"body,body_mr",SCT,123037004,Anatomical Structure,SCT,66019005,Limb,,,,,,,,,,"[255, 51, 153]",,,
body_trunc,"body,body_mr",SCT,123037004,Anatomical Structure,SCT,22943007,Trunk,,,,,,,,,,"[0, 104, 55]",,,
brachiocephalic_trunk,total,SCT,123037004,Anatomical Structure,SCT,12691009,Brachiocephalic artery,,,,,,,,,,"[255, 141, 0]",,,
brachiocephalic_vein_left,total,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,7771000,Left,,,,,,,"[255, 195, 0]",,,
brachiocephalic_vein_right,total,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,24028007,Right,,,,,,,"[75, 0, 130]",,,
brain,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,12738006,Brain,,,,,,,,,,"[250, 250, 225]",250,250,225
brainstem,brain_structures,SCT,123037004,Anatomical Structure,SCT,15926001,Brainstem structure,,,,,,,,,,"[64, 224, 208]",,,
breast,breasts,SCT,123037004,Anatomical Structure,SCT,76752008,Breast,,,,,,,,,,"[80, 208, 12]",,,
carpal,appendicular_bones,SCT,123037004,Anatomical Structure,SCT,83936004,Carpus,,,,,,,,,,"[176, 196, 222]",,,
caudate_nucleus,brain_structures,SCT,123037004,Anatomical Structure,SCT,11000004,Caudate nucleus,,,,,,,,,,"[79, 216, 50]",,,
central_sulcus,brain_structures,SCT,123037004,Anatomical Structure,SCT,28294002,Structure of central sulcus,,,,,,,,,,"[112, 249, 112]",,,
cerebellum,brain_structures,SCT,123037004,Anatomical Structure,SCT,113305005,Cerebellum,,,,,,,,,,"[169, 141, 0]",,,
clavicula_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,7771000,Left,,,,,,,"[241, 188, 38]",241,188,38
clavicula_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,24028007,Right,,,,,,,"[241, 188, 38]",241,188,38
colon,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,71854001,Colon,,,,,,,,,,"[204, 168, 143]",204,168,143
common_carotid_artery_left,total,SCT,123037004,Anatomical Structure,SCT,32062004,Common carotid artery,SCT,7771000,Left,,,,,,,"[0, 121, 140]",,,
common_carotid_artery_right,total,SCT,123037004,Anatomical Structure,SCT,32062004,Common carotid artery,SCT,24028007,Right,,,,,,,"[255, 87, 51]",,,
coracobrachial,"thigh_shoulder_muscles,thigh_shoulder_muscles_mr",SCT,123037004,Anatomical Structure,SCT,44202005,Structure of coracobrachialis muscle,,,,,,,,,,"[159, 163, 139]",,,
coronary_arteries,coronary_arteries,SCT,123037004,Anatomical Structure,SCT,41801008,Coronary artery,,,,,,,,,,"[100, 149, 237]",,,
costal_cartilages,total,SCT,123037004,Anatomical Structure,SCT,50016007,Costal cartilage,,,,,,,,,,"[138, 43, 226]",,,
cricoid_cartilage,headneck_bones_vessels,SCT,123037004,Anatomical Structure,SCT,8600008,Cricoid cartilage structure,,,,,,,,,,"[67, 241, 115]",,,
deltoid,"thigh_shoulder_muscles,thigh_shoulder_muscles_mr",SCT,123037004,Anatomical Structure,SCT,35259002,Deltoid muscle,,,,,,,,,,"[43, 190, 101]",,,
digastric_left,head_muscles,SCT,123037004,Anatomical Structure,SCT,52410001,Digastric muscle structure,SCT,7771000,Left,,,,,,,"[142, 205, 63]",,,
digastric_right,head_muscles,SCT,123037004,Anatomical Structure,SCT,52410001,Digastric muscle structure,SCT,24028007,Right,,,,,,,"[142, 205, 63]",,,
duodenum,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,38848004,Duodenum,,,,,,,,,,"[255, 253, 229]",255,253,229
esophagus,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,32849002,Esophagus,,,,,,,,,,"[211, 171, 143]",211,171,143
eye_left,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,81745001,Eye,SCT,7771000,Left,,,,,,,"[154, 205, 50]",,,
eye_lens_left,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,78076003,Structure of lens of eye,SCT,7771000,Left,,,,,,,"[132, 197, 87]",,,
eye_lens_right,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,78076003,Structure of lens of eye,SCT,24028007,Right,,,,,,,"[132, 197, 87]",,,
eye_right,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,81745001,Eye,SCT,24028007,Right,,,,,,,"[154, 205, 50]",,,
eyeball_left,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,79652003,Eyeball,SCT,7771000,Left,,,,,,,"[154, 205, 50]",,,
eyeball_right,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,79652003,Eyeball,SCT,24028007,Right,,,,,,,"[154, 205, 50]",,,
face,"face,face_mr",SCT,123037004,Anatomical Structure,SCT,89545001,Face,,,,,,,,,,"[255, 182, 193]",255,182,193
femur,,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,,,,,,,,,,"[130, 222, 207]",,,
femur_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,7771000,Left,,,,,,,"[130, 222, 207]",130,222,207
femur_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,24028007,Right,,,,,,,"[130, 222, 207]",130,222,207
fibula,"appendicular_bones,appendicular_bones_mr",SCT,123037004,Anatomical Structure,SCT,87342007,Fibula,,,,,,,,,,"[255, 122, 92]",,,
fourth_ventricle,ventricle_parts,SCT,123037004,Anatomical Structure,SCT,35918002,Fourth ventricle,,,,,,,,,,"[219, 172, 38]",,,
frontal_lobe,brain_structures,SCT,123037004,Anatomical Structure,SCT,83251001,Frontal lobe,,,,,,,,,,"[191, 98, 26]",,,
gallbladder,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,28231008,Gallbladder,,,,,,,,,,"[139, 150, 98]",139,150,98
gluteus_maximus_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,7771000,Left,,,,,,,"[192, 104, 88]",192,104,88
gluteus_maximus_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,24028007,Right,,,,,,,"[192, 104, 88]",192,104,88
gluteus_medius_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,7771000,Left,,,,,,,"[192, 104, 88]",192,104,88
gluteus_medius_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,24028007,Right,,,,,,,"[192, 104, 88]",192,104,88
gluteus_minimus_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,7771000,Left,,,,,,,"[192, 104, 88]",192,104,88
gluteus_minimus_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,24028007,Right,,,,,,,"[192, 104, 88]",192,104,88
hard_palate,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,90228003,Hard palate structure,,,,,,,,,,"[134, 151, 0]",,,
heart,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,80891009,Heart,,,,,,,,,,"[239, 71, 111]",,,
heart_atrium_left,heartchambers_highres,SCT,123037004,Anatomical Structure,SCT,82471001,Left atrium,,,,,,,,,,"[221, 129, 37]",221,129,37
heart_atrium_right,heartchambers_highres,SCT,123037004,Anatomical Structure,SCT,73829009,Right atrium,,,,,,,,,,"[221, 129, 37]",221,129,37
heart_myocardium,heartchambers_highres,SCT,123037004,Anatomical Structure,SCT,74281007,Myocardium,,,,,,,,,,"[192, 104, 88]",192,104,88
heart_ventricle_left,heartchambers_highres,SCT,123037004,Anatomical Structure,SCT,87878005,Left ventricle of heart,,,,,,,,,,"[152, 55, 13]",152,55,13
heart_ventricle_right,heartchambers_highres,SCT,123037004,Anatomical Structure,SCT,53085002,Right ventricle of heart,,,,,,,,,,"[181, 85, 57]",181,85,57
hip_implant,hip_implant,SCT,260787004,Physical object,SCT,40388003,Implant,,,,SCT,24136001,Hip joint,,,,"[219, 112, 147]",,,
hip_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,7771000,Left,,,,,,,"[241, 214, 145]",241,214,145
hip_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,24028007,Right,,,,,,,"[241, 214, 145]",241,214,145
humerus,,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,,,,,,,,,,"[255, 182, 193]",,,
humerus_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,7771000,Left,,,,,,,"[95, 229, 185]",95,229,185
humerus_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,24028007,Right,,,,,,,"[95, 229, 185]",95,229,185
hyoid,headneck_bones_vessels,SCT,123037004,Anatomical Structure,SCT,21387005,Hyoid bone structure,,,,,,,,,,"[62, 169, 108]",,,
hypopharynx,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,81502006,Hypopharynx,,,,,,,,,,"[153, 127, 5]",,,
iliac_artery_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,7771000,Left,,,,,,,"[217, 162, 48]",217,162,48
iliac_artery_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,24028007,Right,,,,,,,"[217, 162, 48]",217,162,48
iliac_vena_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,7771000,Left,,,,,,,"[197, 174, 37]",197,174,37
iliac_vena_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,24028007,Right,,,,,,,"[197, 174, 37]",197,174,37
iliopsoas_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,7771000,Left,,,,,,,"[192, 104, 88]",192,104,88
iliopsoas_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,24028007,Right,,,,,,,"[192, 104, 88]",192,104,88
inferior_oblique_muscle_left,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,57516003,Inferior oblique muscle structure,SCT,7771000,Left,,,,,,,"[198, 126, 10]",,,
inferior_oblique_muscle_right,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,57516003,Inferior oblique muscle structure,SCT,24028007,Right,,,,,,,"[198, 126, 10]",,,
inferior_pharyngeal_constrictor,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,80461005,Inferior constrictor pharyngeus muscle structure,,,,,,,,,,"[246, 105, 135]",,,
inferior_rectus_muscle_left,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,47869003,Inferior rectus muscle structure,SCT,7771000,Left,,,,,,,"[114, 76, 2]",,,
inferior_rectus_muscle_right,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,47869003,Inferior rectus muscle structure,SCT,24028007,Right,,,,,,,"[114, 76, 2]",,,
inferior_vena_cava,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,64131007,Inferior vena cava,,,,,,,,,,"[110, 165, 54]",110,165,54
infraspinatus,"thigh_shoulder_muscles,thigh_shoulder_muscles_mr",SCT,123037004,Anatomical Structure,SCT,72573008,Infraspinatus muscle,,,,,,,,,,"[39, 90, 86]",,,
insular_cortex,brain_structures,SCT,123037004,Anatomical Structure,SCT,,,,,,,,,,,,"[191, 245, 77]",,,
intermuscular_fat,tissue_4_types,SCT,85756007,Tissue,SCT,55603005,Fat,,,,,,,,,,"[116, 101, 39]",,,
internal_capsule,brain_structures,SCT,123037004,Anatomical Structure,SCT,85637007,internal capsule,,,,,,,,,,"[134, 16, 8]",,,
internal_carotid_artery_left,headneck_bones_vessels,SCT,123037004,Anatomical Structure,SCT,86117002,Internal Carotid Artery,SCT,7771000,Left,,,,,,,"[136, 224, 211]",,,
internal_carotid_artery_right,headneck_bones_vessels,SCT,123037004,Anatomical Structure,SCT,86117002,Internal Carotid Artery,SCT,24028007,Right,,,,,,,"[136, 224, 211]",,,
internal_jugular_vein_left,headneck_bones_vessels,SCT,123037004,Anatomical Structure,SCT,12123001,Internal jugular vein,SCT,7771000,Left,,,,,,,"[149, 207, 64]",,,
internal_jugular_vein_right,headneck_bones_vessels,SCT,123037004,Anatomical Structure,SCT,12123001,Internal jugular vein,SCT,24028007,Right,,,,,,,"[149, 207, 64]",,,
intervertebral_discs,"total_mr,vertebrae_body",SCT,123037004,Anatomical Structure,SCT,360499006,Intervertebral disc,,,,,,,,,,"[106, 76, 147]",,,
intracerebral_hemorrhage,cerebral_bleed,SCT,49755003,Morphologically Altered Structure,SCT,50960005,Hemorrhage,,,,SCT,12738006,Brain,,,,"[32, 178, 170]",,,
kidney_cyst_left,"kidney_cysts,total",SCT,49755003,Morphologically Altered Structure,SCT,367643001,Cyst,,,,SCT,64033007,Kidney,SCT,7771000,Left,"[255, 209, 102]",,,
kidney_cyst_right,"kidney_cysts,total",SCT,49755003,Morphologically Altered Structure,SCT,367643001,Cyst,,,,SCT,64033007,Kidney,SCT,24028007,Right,"[6, 214, 160]",,,
kidney_left,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,7771000,Left,,,,,,,"[212, 126, 151]",212,126,151
kidney_right,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,24028007,Right,,,,,,,"[212, 126, 151]",212,126,151
larynx_air,headneck_bones_vessels,SCT,123037004,Anatomical Structure,SCT,4596009,Larynx,,,,,,,,,,"[223, 34, 250]",,,
lateral_pterygoid_left,head_muscles,SCT,123037004,Anatomical Structure,SCT,88938001,Structure of lateral pterygoid muscle,SCT,7771000,Left,,,,,,,"[199, 135, 190]",,,
lateral_pterygoid_right,head_muscles,SCT,123037004,Anatomical Structure,SCT,88938001,Structure of lateral pterygoid muscle,SCT,24028007,Right,,,,,,,"[199, 135, 190]",,,
lateral_rectus_muscle_left,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,31836009,Lateral rectus muscle structure,SCT,7771000,Left,,,,,,,"[208, 246, 65]",,,
lateral_rectus_muscle_right,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,31836009,Lateral rectus muscle structure,SCT,24028007,Right,,,,,,,"[208, 246, 65]",,,
left_coronary_cusp,aortic_sinuses,SCT,123037004,Anatomical Structure,SCT,81797008,Structure of cusp of aortic valve,SCT,7771000,Left,,,,,,,"[191, 170, 118]",,,
left_ventricular_outflow_tract,aortic_sinuses,SCT,123037004,Anatomical Structure,SCT,13418002,Structure of outflow tract of left ventricle,,,,,,,,,,"[183, 70, 16]",,,
lentiform_nucleus,brain_structures,SCT,123037004,Anatomical Structure,SCT,41648007,Lentiform nucleus structure,,,,,,,,,,"[127, 163, 169]",,,
levator_palpebrae_superioris_left,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,58641002,Levator palpebrae superioris structure,SCT,7771000,Left,,,,,,,"[241, 175, 134]",,,
levator_palpebrae_superioris_right,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,58641002,Levator palpebrae superioris structure,SCT,24028007,Right,,,,,,,"[241, 175, 134]",,,
levator_scapulae_left,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,11327007,Structure of levator scapulae muscle,SCT,7771000,Left,,,,,,,"[109, 212, 31]",,,
levator_scapulae_right,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,11327007,Structure of levator scapulae muscle,SCT,24028007,Right,,,,,,,"[109, 212, 31]",,,
liver,"total,total_mr",SCT,123037004,Anatomical Structure,SCT,10200004,Liver,,,,,,,,,,"[221, 130, 101]",221,130,101
liver_segment_1,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,71133005,Structure of caudate lobe of liver,,,,,,,,,,"[5, 26, 88]",,,
liver_segment_2,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,277956007,Structure of Couinaud hepatic segment II,,,,,,,,,,"[156, 110, 195]",,,
liver_segment_3,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,277957003,Structure of Couinaud hepatic segment III,,,,,,,,,,"[219, 131, 164]",,,
liver_segment_4,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,277958008,Structure of Couinaud hepatic segment IV,,,,,,,,,,"[181, 158, 218]",,,
liver_segment_5,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,277959000,Structure of Couinaud hepatic segment V,,,,,,,,,,"[7, 218, 211]",,,
liver_segment_6,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,277960005,Structure of Couinaud hepatic segment VI,,,,,,,,,,"[209, 246, 252]",,,
liver_segment_7,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,277961009,Structure of Couinaud hepatic segment VII,,,,,,,,,,"[57, 99, 199]",,,
liver_segment_8,"liver_segments,liver_segments_mr",SCT,123037004,Anatomical Structure,SCT,277962002,Structure of Couinaud hepatic segment VIII,,,,,,,,,,"[106, 81, 76]",,,
liver_tumor,liver_vessels,SCT,49755003,Morphologically Altered Structure,SCT,108369006,Neoplasm,,,,SCT,10200004,Liver,,,,"[128, 128, 0]",,,
liver_vessels,liver_vessels,SCT,123037004,Anatomical Structure,SCT,59820001,Blood vessel,,,,SCT,10200004,Liver,,,,"[0, 255, 255]",,,
lung,lung_nodules,SCT,123037004,Anatomical Structure,SCT,39607008,Lung,,,,,,,,,,"[112, 162, 95]",,,
lung_covid_infiltrate,covid,SCT,49755003,Morphologically Altered Structure,SCT,47351003,Infiltrate,SCT,840539006,COVID-19,SCT,39607008,Lung,,,,"[255, 69, 0]",,,
lung_left,total_mr,SCT,123037004,Anatomical Structure,SCT,39607008,Lung,SCT,7771000,Left,,,,,,,"[255, 159, 64]",,,
lung_lower_lobe_left,total,SCT,123037004,Anatomical Structure,SCT,90572001,Lower lobe of lung,SCT,7771000,Left,,,,,,,"[242, 150, 232]",242,150,232
lung_lower_lobe_right,total,SCT,123037004,Anatomical Structure,SCT,90572001,Lower lobe of lung,SCT,24028007,Right,,,,,,,"[212, 191, 32]",212,191,32
lung_middle_lobe_right,total,SCT,123037004,Anatomical Structure,SCT,72481006,Middle lobe of right lung,,,,,,,,,,"[202, 164, 140]",202,164,140
lung_nodules,lung_nodules,,,,,,,,,,,,,,,,"[182, 123, 121]",,,
lung_right,total_mr,SCT,123037004,Anatomical Structure,SCT,39607008,Lung,SCT,24028007,Right,,,,,,,"[0, 176, 155]",,,
lung_trachea_bronchia,lung_vessels,SCT,123037004,Anatomical Structure,SCT,110726009,Trachea and bronchus,,,,,,,,,,"[70, 130, 180]",,,
lung_upper_lobe_left,total,SCT,123037004,Anatomical Structure,SCT,45653009,Upper lobe of lung,SCT,7771000,Left,,,,,,,"[112, 162, 95]",112,162,95
lung_upper_lobe_right,total,SCT,123037004,Anatomical Structure,SCT,45653009,Upper lobe of lung,SCT,24028007,Right,,,,,,,"[173, 69, 44]",173,69,44
lung_vessels,lung_vessels,SCT,123037004,Anatomical Structure,SCT,59820001,Blood vessel,,,,SCT,39607008,Lung,,,,"[255, 215, 0]",,,
masseter_left,head_muscles,SCT,123037004,Anatomical Structure,SCT,79368004,Masseter muscle structure,SCT,7771000,Left,,,,,,,"[71, 31, 101]",,,
masseter_right,head_muscles,SCT,123037004,Anatomical Structure,SCT,79368004,Masseter muscle structure,SCT,24028007,Right,,,,,,,"[71, 31, 101]",,,
medial_pterygoid_left,head_muscles,SCT,123037004,Anatomical Structure,SCT,85002005,Structure of medial pterygoid muscle,SCT,7771000,Left,,,,,,,"[189, 124, 147]",,,
medial_pterygoid_right,head_muscles,SCT,123037004,Anatomical Structure,SCT,85002005,Structure of medial pterygoid muscle,SCT,24028007,Right,,,,,,,"[189, 124, 147]",,,
medial_rectus_muscle_left,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,24937009,Medial rectus muscle structure,SCT,7771000,Left,,,,,,,"[15, 14, 33]",,,
medial_rectus_muscle_right,oculomotor_muscles,SCT,123037004,Anatomical Structure,SCT,24937009,Medial rectus muscle structure,SCT,24028007,Right,,,,,,,"[15, 14, 33]",,,
metacarpal,appendicular_bones,SCT,123037004,Anatomical Structure,SCT,36455000,Metacarpal bones,,,,,,,,,,"[255, 215, 0]",,,
metatarsal,"appendicular_bones,appendicular_bones_mr",SCT,123037004,Anatomical Structure,SCT,53884002,Metatarsal,,,,,,,,,,"[75, 0, 130]",,,
middle_pharyngeal_constrictor,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,66138004,Middle pharyngeal constrictor muscle structure,,,,,,,,,,"[205, 46, 41]",,,
middle_scalene_left,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,38630006,Structure of scalenus medius muscle,SCT,7771000,Left,,,,,,,"[208, 116, 98]",,,
middle_scalene_right,headneck_muscles,SCT,123037004,Anatomical Structure,SCT,38630006,Structure of scalenus medius muscle,SCT,24028007,Right,,,,,,,"[208, 116, 98]",,,
nasal_cavity_left,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,279549004,nasal cavity,SCT,7771000,Left,,,,,,,"[176, 105, 63]",,,
nasal_cavity_right,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,279549004,nasal cavity,SCT,24028007,Right,,,,,,,"[176, 105, 63]",,,
nasopharynx,head_glands_cavities,SCT,123037004,Anatomical Structure,SCT,360955006,Nasopharynx,,,,,,,,,,"[252, 143, 210]",,,
